name,sfgOriginal,sfgMultisow,sfgMacizo
Abrótano,1,,
Acedera,9,5,1
Acelga,4,,
Achicoria para raíz,1,,
Achocha,4,1,
Ageratum,9,5,1
Ajedrea,5,4,1
Ajenjo,1,,
Ajo,9,,
Ajo de oso,4,,
Ajo elefante,5,,
Ajo rocambole,5,,
Ajo rosa,9,,
Ajo siberiano,16,9,4
Ajo tierno,16,,
Albahaca,16,9,4
Alberjón,9,5,
Alcachofa,1,,
Alcaparras,5,4,1
Alcaravea,16,9,4
Alelí,4,,
Alfalfa,5,4,
Alficoz,1,,
Alforfón o trigo sarraceno,16,,
Algodón,1,,
Aliso,16,9,4
Almorta,5,4,
Alquejenje o physalis,1,,
Altramuz,4,1,
Amapola,16,16,
Amapola de California,16,16,
Amaranto de flor,1,,
Amaranto de hoja,4,,
Amchoi,4,,
Amni visnaga,5,4,1
Apio,5,4,1
Apio de hoja,9,5,
Apionabo,1,,
Arándano,1,,
Arándano rojo,1,,
Arroz,9,,
Arroz negro,9,,
Arroz rojo,9,,
Artemisa annua,1,,
Asclepia,1,,
Ashwagandha,1,,
Aster,16,9,4
Avena,16,9,4
Ayecote,4,,
Azafrán,9,,
Bardana,1,,
Beleño,1,,
Belladona,1,,
Berenjena,1,,
Berenjena africana,1,,
Bergamota,9,5,1
Berro,16,16,5
Berza,1,,
Bimi,1,,
Bledo,4,1,
Bolsa de pastor,16,16,5
Boniato,1,,
Borraja,4,,
Briza,16,9,
Brocoleto,4,,
Brocoli,1,,
Brocoli de hoja,1,,
Brokale,1,,
Cacahuete,5,4,
Caigua,4,1,
Calabacín,1,,
Calabaza,1,,
Calabazas,1,,
Caléndula,9,5,4
Canna,1,,
Canónigo,16,16,5
Caña de azúcar,1,,
"Cáñamo, cannabis",1,,
Capuchina,9,,
Cardiospermum,4,,
Cardo,1,,
Cártamo,5,4,
Castaña de tierra,4,,
Cebada,16,9,4
Cebolla de verdeo,9,,
Cebolla egipcia,4,,
Cebolla seca,4,,
Cebolla verde,5,4,
Cebollino,5,,
Celosía,5,4,
Celtuce o lechuga espárrago,4,,
Centaurea,16,9,5
Centeno,16,,
Chalota o cebolleta,16,,
Chayote,1,,
Chía,1,,
Chicoria,4,,
Chile,1,,
Chufa,16,5,
Ciclamen,4,,
Cilantro,16,9,4
Citrullus,2,1,
Clavel,16,9,4
Claytonia,16,9,
Clitoria,5,4,
Cogollos (lechuga),9,,
Col,1,,
Col china,1,,
Col de bruselas,1,,
Col lombarda,1,,
Col marítima,1,,
Cola de caballo,4,1,
Coliflor,1,,
Colinabo,4,,
Colirábano,4,,
Collard,1,,
Consuelda,1,,
Coreopsis,16,9,4
Cosmos,16,9,4
Craspedia,16,9,4
Crisantemo comestible,5,4,1
Crosnes,9,5,
Cucamelon,4,,
Culantro,5,4,1
Cúrcuma,1,,
Dagga,4,1,
Daikon,1,,
Dalia grande,4,1,
Dalia pequeña,9,4,
Delphinium,16,9,4
Diente de león,9,5,
Digitalis,1,,
Dracocephalum,16,16,
Endivias,4,,
Endrina,1,,
Eneldo,16,9,4
Epazote,9,4,1
Equinácea,5,4,1
Escarola para cabeza,1,,
Escarola para hojas,4,,
Esparceta,9,4,
Espárragos,1,,
Esparto,4,,
Espinaca fresa,9,5,1
Espinaca malabar,4,,
Espinacas,9,5,
Estragón,16,,
Fenogreco,16,5,1
Facelia,16,,
Filipendula,16,,
Flor de paja,16,9,5
Flor eléctrica,5,4,
Floripondio o estramonio,1,,
Frambuesa,1,,
Fresa,5,,
Fresa silvestre,9,5,4
Fresón trepador,1,,
Fucsia,1,,
Garbanzos,5,4,
Gazania,16,9,4
Genciana,4,1,
Gengibre,1,,
Gilo,1,,
Ginseng,1,,
Girasol,2,1,0
Gomfrena,16,9,5
Grosella,1,,
Grosella espinosa,1,,
Guerkin,4,,
Guisante alado,5,4,
Guisante de olor,9,5,1
Guisante mata alta,4,,
Guisante mata baja,5,,
Guisante mata media,4,,
Guisante para brotes,16,,
Guisantes,5,,
Gypsophyla,16,9,5
Habas,9,5,
He Tang,1,,
Hibiscus sabdariffa,1,,
Hierba de queso,5,4,
Hierba de santa bárbara,16,,
Hierba gatera,16,9,4
Hierba mora,1,,
Hierba seta,5,4,
Hinojo de bulbo,4,,
Hinojo silvestre,4,,
Hisopo,16,9,4
Hoja de ostra,5,4,
Hon Tsoi grande,1,,
Hon Tsoi pequeño,4,,
Huacatay,5,4,1
Huazontle,5,4,
Indigo,4,1,
Ipomea lobata,9,5,1
Ipomea violacea,9,5,1
Isatis,5,4,1
Jazmín,1,,
Judía de metro,4,4,
Judía escarlata,4,,
Judías mata alta,4,,
Judías mata baja,4,,
Kaisoi,4,,
Kale,1,,
Kamut,16,,
Kiwano,1,,
Kiwi,1,,
Kiwiño,1,,
Komatsuna,9,5,
Lablab,4,,
Lagenaria,1,,
Lágrimas de Job,5,,
Lavanda,5,4,
Lechuga para cabeza,1,,
Lechuga para hojas,4,,
Lechuga silvestre,5,,
Lenteja,5,,
Levístico,9,5,1
Lino,16,,
Llantén,9,,
Lonas,16,9,4
Luffa,1,,
Lulo,1,,
Lúpulo,5,4,1
Madreselva,1,,
Maca,1,,
Maíz,2,1,
Maíz Zea japonica,4,,
Malva,9,5,
Malva real,1,,
Mandrágora,1,,
Manzanilla,5,4,1
Manzanilla romana,9,5,1
Maracuyá,1,,
Marialuisa,1,,
Mashua,1,,
Mastuerzo,16,,
Mejorana,9,5,4
Melón amargo,1,,
Melisa,2,1,
Melones,1,,
Menta,16,9,4
Mijo,5,4,1
Mijo japonés,16,5,4
Milenrama,4,1,
Mirabilis expansiva,1,,
Mirabilis jalapa,4,1,
Mirra,9,5,1
Mirto,1,,
Mostaza de hoja,5,,
Nabos,4,,
Nepeta cataria,9,5,1
Nigella,16,,
Ñame,1,,
Oca,1,,
Okra,1,,
Onagra,5,,
Opio,9,,
Orégano,16,,
Orégano cubano,4,,
Orégano mexicano,4,1,
Orégano zaatar,5,4,1
Orlaya,16,16,5
Ortiga,9,5,2
Pak Choi,5,,
Pak Choi mini,9,,
Panisetum,1,1,
Papaya,1,,
Patatas,1,,
Patisson o peter pan,1,,
Pensamientos grandes,4,,
Pensamientos pequeños,5,,
Pepino,1,,
Pepino africano,4,,
Pepino espinoso,4,,
Pepino limón,1,,
Perejil,16,9,4
Perejil de raíz,9,,
Perejíl japonés,9,5,
Petunia,16,9,4
Phlox,16,9,4
Pimientos,1,,
Pimpinela mayor,16,,
Pimpinela menor,16,,
Piretros,16,9,4
Pitaya,1,,
Poke,1,,
Puerro perpetuo,4,,
Puerros var grandes,1,,
Puerros var medianas,4,,
Puerros var pequeñas,5,,
Quenopodio,4,1,
Quinoa,1,,
Rabanito,16,,
Rabanito para semilla,1,,
Rábano de hoja,5,4,
Rábano picante,1,,
Rábanos,9,,
Rabanos cola de rata,1,,
Rapunzel,4,,
Ratibida,16,9,5
Raygras,16,,
Regaliz,1,,
Remolacha,5,4,
Remolacha azucarera,5,4,
Remolacha de hoja,5,4,
Remolacha gigante,1,,
Ricino,1,,
Romanesco,1,,
Romaza,5,,
Romero,1,,
Rosa,1,,
"Rosa mosqueta, rosa canina",1,,
Rubia,9,5,4
Rúcula,16,16,5
Ruda,1,,
Rudbeckia,16,9,5
Ruibarbo,1,,
Salicornia,9,5,1
Salpiglosis,9,5,1
Salsifí,5,,
Salvia,1,,
Sandía,1,,
Scabiosa,16,9,5
Secale,16,,
Sedum,16,16,5
Silene,16,9,4
Soja,4,,
Solanum incanum,1,,
Solanum torvum,1,,
Sorgo,9,5,1
Sunberry,1,,
Tabaco,1,,
Tagarninas,5,,
Tagete,16,9,4
Tamarillo,1,,
Tamarindo,1,,
Tanaceto,5,4,
Taro para hojas,4,,
Taro para raíz,1,,
Tatsoi para hojas,4,,
Tatsoi para roseta,1,,
Tayberry,1,,
Té de roca,9,5,
Teff,16,9,4
Theosinte,2,1,
Thunbergia,1,,
Tomate caníbal,1,,
Tomate de árbol,1,,
Tomate lichi,1,,
Tomates,1,,
Tomatillo,1,,
Tomillo,5,,
Tona,1,,
Tradescantia,9,5,
Trébol,16,,
Trigo,16,,
Tsoi Sim,5,,
Tulsi o tulasi,9,5,4
Tupinambo,1,,
Ulluco,1,,
Umsobo,1,,
Uva crispa,1,,
Valeriana,4,1,
Verbena,16,9,5
Verdolaga,16,9,1
Veza,16,,
Violetas,9,5,
Wasabi,1,,
Yakon,1,,
Yuca,1,,
Zanahoria,16,,
Zinia grande,9,4,1
Zinia pequeña,16,9,4
